"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0346779"|"NORRIDGEWOCK HOUSING CORPORATION"|"1204052"|""|"143552.0000"|""|"176163.0000"|"Operation of housing project for elderly number of persons benefiting - approximately fifty"|""|""|""|""|""|""|""|""|""|""
"01-0354752"|"Lincolnville Volunteer Fire Department"|"1204053"|""|"19238.0000"|""|""|"The Lincolnville Volunteer Fire Department, Inc supports the Town of Lincolnville, Maine Fire Department The Lincolnville Volunteer Fire Department Inc provides support by donating monies to the Town for the purchase of equipment, fire trucks and other fire related purposes The donation of monies for these purposes greatly reduces the property tax burden on the citizens of the Town of Lincolnville In 2012,16,202 was granted to the Town of Lincolnville for Fire Department purchases as follow"|""|""|""|""|""|""|""|""|""|""
"01-0356422"|"MOOSEHEAD MARINE MUSEUM"|"1204054"|""|"164569.0000"|""|"202902.0000"|"Maintain and operate the museum and restored lake steamer"|""|""|""|""|""|""|""|""|""|""
"01-0369722"|"WAWENOCK GOLF CLUB"|"1204055"|""|"291981.0000"|""|"139080.0000"|"To promote physical, mental, and educational development and rehabilitation on a non-discriminatory basis"|""|""|""|""|""|""|""|""|""|""
"01-0371869"|"BOOTHBAY REGION LAND TRUST"|"1204056"|""|"279013.0000"|"0.0000"|"0.0000"|"Stewardship of properties in the Boothbay Region of Maine for purposes stated in b. below. Over 1,738 acres are being protected including nearly 4 miles of mainland shore frontage. There are 30 miles of marked and maintained hiking trails open free of charge to the public. In 2012. the organization acquired 2 parcels of land encompassing over 25 acres. In 2012. over 35,000 visitors enjoyed and/or hiked on the organization's properties. In addition,115 volunteers contributed over 3,500"|""|"70235.0000"|"0.0000"|"0.0000"|"Public education regarding need to preserve natural resources and maintain open space property for public enjoyment, wildlife habitat, nesting areas and protection of areas of archaeological significance. Population of communities served is 6,500 people."|""|"3825.0000"|"3825.0000"|"0.0000"|"Donated money to towns in the Boothbay Region of Maine to lessen real estate tax burden on citizenry."
"01-0372429"|"Falmouth Conservation Trust"|"1204057"|""|"12923.0000"|""|""|"Community outreach and education on the benefits of land conservation accomplished throught newsletters, database support, and local events"|""|"8130.0000"|"30000.0000"|""|"Permanent acquisition of conservation easements and undeveloped parcels of land held and maintained for the public benefit Currently, the trust holds 15 properties in fee simple for a total of 514 acres, and an additional 25 conservation easements protecting an additional 358 acres"|""|""|""|""|""
"01-0372829"|"BOOTH BAY RAILWAY VILLAGE"|"1204058"|""|"537723.0000"|""|"236066.0000"|"The organization operated a railway museum featuring railroad cars, locomotives and other memorabilia from the 19th century several thousand people visit the museum per season"|""|"55628.0000"|""|"71777.0000"|"THE ORGANIZATION provides restoration services to antique boilers"|""|""|""|""|""
"01-0382451"|"WHITNEY BROOKSIDE CORPORATION"|"1204059"|""|"194956.0000"|""|"52082.0000"|"The corporation provided 20 units of affordable housing to elderly tenants in Canton, Maine"|""|""|""|""|""|""|""|""|""|""
"01-0441229"|"DOWN EAST AIDS NETWORK INC"|"1204062"|""|"220293.0000"|""|""|"Prevention 230 HIV tests conducted 386 syringe exchange clients served 73,189 syringes distributed case management 64 people living with HIV served 28,341 in financial assistance for people living with HIV disbursed"|""|""|""|""|""|""|""|""|""|""
"01-0456895"|"MOUNT AUBURN CEMETERY CORP CO MARY E KEOUGH"|"1204063"|""|""|""|""|"Cemetery operations"|""|""|""|""|""|""|""|""|""|""
"01-0458555"|"SCARBOROUGH FISH & GAME ASSOCIATION"|"1204064"|""|""|""|""|"Teaching fire arm safety to all members and public training for law enforcement and military"|""|""|""|""|""|""|""|""|""|""
"01-0461075"|"MARIAN MOVEMENT OF PRIESTS"|"1204065"|""|"88362.0000"|""|""|"The purpose of the Marian Movement of Priests is to provide a means for priests and laity of the catholic Church to achieve a genuine spiritual renewal of their catholic commitment to the Gospel of Jesus Christ"|""|""|""|""|""|""|""|""|""|""
"01-0478977"|"BIDDEFORD FREE CLINIC"|"1204066"|""|"154135.0000"|""|""|"The clinic provided medical/dental care, non-narcotic medications, social services, and limited laboratory tests serving over 600 patients."|""|""|""|""|""|""|""|""|""|""
"01-0483786"|"BICYCLE COALITION OF MAINE"|"1204067"|""|"217438.0000"|""|""|"Maintain a coalition of 5000 bicyclists in Maine who as members, receive newsletters and electronic information about all aspects of bicycling in Maine, including our programming, infrastructure projects, legislation, events and other bicycling news"|""|"107065.0000"|""|"112124.0000"|"Promote and facilitate bicycling and walking to school, to work and to errands, throughout the state"|""|"79844.0000"|""|"82865.0000"|"Administer education and safety programs so that bicyclists are safer on Maine roads and bicycle laws are known to cyclists and motorists Programs are oriented toward school children, places of employment, towns and law enforcement"
"01-0493123"|"WALDO COUNTY YMCA"|"1204069"|""|"51145.0000"|""|"142265.0000"|"Childcare - the Waldo County YMCA provides high quality childcare by providing comprehensive activities for preschool and school age children drawing on diverse members of the local community we provide both full and part time options to serve a wide range of family scheduling needs woven into the fabric of the Waldo County YMCA mission is a commitment to strengthen families Waldo County YMCA childcare programs relieve the burden of balancing work and family and make it possible for parents"|""|"292561.0000"|""|"214853.0000"|"Health and wellness for youth and adults - helping people of all ages and abilities develop health in spirit, mind and body is at the core of the Waldo County YMCA mission our programs are designed to help people create realistic goals for self-improvement and emphasize disease prevention through regular exercise, proper nutrition, stress management and health education sports programs for youth, families and adults promote teamwork, interaction and development of social and physical skills"|""|"57457.0000"|""|"60169.0000"|"Youth development programs - the Waldo YMCA youth and teen programs give kids good role models to help them develop self-esteem and good values, including cooperation, respect, good citizenship and a strong work ethic our youth advocacy program promotes the benefits of non-smoking and other drug use education the Waldo County YMCA maintains a ""teen center"" to provide a safe, healthy and fun place for teens to hang out and participate in monitored activites every day after school"
"01-0505729"|"FRIENDS OF THE ST LAWRENCE CHURCH"|"1204070"|""|""|""|""|"Restoration of monument/national landmark expenses relate to renovations and maintenance of national landmark"|""|"115976.0000"|""|""|"Support and promotion of cultural and artistic activities expenses fulfill this tax exempt purpose through the operation of arts center and promotion of local arts and culture through sales of cd9s and postcards"|""|""|""|""|""
"01-0509793"|"PITTSTON FAIR ASSOCIATION"|"1204071"|""|"50511.0000"|""|"56490.0000"|"Sponsored 4 day agricultural fair which included livestock demonstrations, pulling events,-h shows and demos, barrell racing, exhibit hall showcasing locally grown fruits and vegetables and pie baking contests"|""|""|""|""|""|""|""|""|""|""
"01-0509853"|"PINE CREST DEVELOPMENT CORPORATION DEVELOPMENT CORP"|"1204072"|""|""|""|""|"To promote the social welfare of the town of dover foxcroft Maine by encouraging economic, business & industrial development in the community"|""|""|""|""|"To promote social welfare to the town of dover foxcroft me, by encouraging economic business development"|""|""|""|""|"Promoting the social welfare of the town of dover foxcroft me by encouraging economic business development ion the community"
"01-0518900"|"THE POPTECH INSTITUTE"|"1204073"|""|"1821063.0000"|""|"678850.0000"|"In 2012, PopTech continued to be a key global participant in the field of social innovation The October 2012 PopTech Conference Toward Resilience explored the emerging field of resilience at the systems, enterprise and personal levels"|""|"1221896.0000"|""|""|"In 2012 PopTech continued its trajectory as a key global participant in the field of social innovation Our programming provides education, leadership training and solution-generating convenings addressing a variety of global and societal issues and challenges PopTechs Social Innovation Fellows and Science Fellows programs represent core mission commitments of PopTech The programs were founded in 2008 and 2010 respectively The goal of the programs is to accelerate the impact of future"|""|""|""|""|""
"01-0520096"|"CENTER THEATRE INC"|"1204074"|""|"93886.0000"|""|"127651.0000"|"Other program service accomplishments - festival, drama camp, including concessions related to theatre use and making the theatre available to local and regional organizations for rent these rentals provide an opportunity for other groups and organizations to have a professional space to present shows, raise funds and contribute to the cultural infrastructure of our community"|""|"44514.0000"|"14000.0000"|"29173.0000"|"Concerts & live programming - bringing artists and performers to our rural area for performances, concerts and events approximately 12 shows were held serving an estimated 2,500 people our goal is to bring arts, culture and entertainment to our under-served community"|""|"36495.0000"|""|"26287.0000"|"Movie programming - bringing new releases as well as documentaries, histories and classic movies to our community 30 movies were shown in 2012, serving over 10,000 people our goal is to bring arts, culture, and entertainment to our under-served community"
"01-0523819"|"Mary's Walk"|"1204075"|""|"223387.0000"|"212000.0000"|""|"Maine Cancer Research and Education Foundation"|""|""|""|""|""|""|""|""|""|""
"01-0530866"|"INSTITUTE FOR HUMANE EDUCATION"|"1204076"|""|"109138.0000"|""|"83890.0000"|"The organization provides graduate, certificate, workshop and other educational programs for people interested in becoming humane educators"|""|"5759.0000"|""|"7255.0000"|"The organization provides information, tools, and resourcesfor living an examined and meaningful life through speakingengagements"|""|""|""|"782.0000"|"The organization promotes Humane Education principles through the sale of books and reference material"
