"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0786632"|"Middle Tennessee Mission Outreach, Inc"|"1139815"|"To Provide Spiritual Leadership and Guidance, Medical Care and Medicine, and Food to those who cannot or do not have access to these things through Mission Work"|""|""|"0.0000"|"0.0000"|""|"0.0000"|"Y"
"01-0957572"|"Marginal Way Preservation Fund"|"1139819"|"Protecting and Preserving the Marginal Way for Future Generations"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"44569.0000"|""
"01-0959193"|"International Union, Uaw Local 2121"|"1139820"|"Promote social and ecommic justice through collective bargaining, meetings, education, communication, organizing new bargaining units, community action, administration of the orhanization, maintenance of its property and assets, delivery of benefits to represent ed members, fraternal and social activities and related activities which further the common interests of the membership"|"N"|"N"|""|""|""|""|""
"01-0966281"|"IGLESIA CRISTIANA DEL DIOS VIVIENTE"|"1139821"|""|"N"|"N"|""|""|""|""|""
"01-6010461"|"OCEAN VIEW CEMETERY"|"1139823"|"Operation of a cemetery"|"N"|"N"|""|""|""|"47767.0000"|""
"01-6019452"|"AMERICAN LEGION LIBBY-MITCHELL POST 76"|"1139824"|"Community service & vets home"|"N"|"N"|""|""|""|""|""
"01-0837280"|"Galveston Houston Knights of Columbus Charities, Inc."|"1143213"|"The Galveston Houston Knights of Columbus Charities, Inc.'s purpose is to organize and run a charity golf tournament for the benefit of the Archdiocese of Galveston Houston to support St. Mary's Seminary, Catholic Education and Faith Formation. All proceeds from the tournament are turned over to the archdiocese for the above mentioned purposes."|"N"|"N"|""|""|""|"256025.0000"|""
"01-6021180"|"MAINE BEER & WINE WHOLESALERS ASSOC. INC"|"1143214"|"The purposes are to incorporate as a relief or benefit association for mutual assistance, and for the protection and betterment of its interest in general, to raise and maintain the standard of the beverage industry, and to cultivate friendship, good-will and business co-operation"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""
"01-0203708"|"AMERICAN LEGION POST 1"|"1143212"|"Fellowship and support for service men and service women"|"N"|"N"|""|""|""|"35554.0000"|""
"01-0386284"|"HOPE HAVEN GOSPEL MISSION INC"|"1145269"|"Provide emergency housing and food for the homeless"|"N"|"N"|""|""|""|"250646.0000"|""
"01-0457896"|"C & M CONSULTING AND MANAGEMENT SERVICES"|"1145272"|"Organization runs a group home for developmentaly disabled individuals"|"N"|"N"|""|""|""|"200157.0000"|""
"01-0463933"|"The Presciue Isle Historical Society"|"1145273"|"Obtain, restore, maintain and display items of historical value"|"N"|"N"|""|""|""|"47413.0000"|""
"01-0478564"|"FRIENDS OF ROCKLAND PUBLIC LIBRARY"|"1145274"|"The mission of the friends of the Rockland Public Library is to support the goals of the library and its advisory board in their efforts to serve the city and the greater Rockland community."|"N"|"N"|""|""|""|"39273.0000"|""
"01-0482767"|"Peaks Island Children's Workshop"|"1145276"|"To provide child care services for families to enable parents to work, attend school or job training."|"N"|"N"|""|""|""|"43851.0000"|""
"01-0523776"|"Spring Point Ledge Liqht Trust"|"1145280"|"The mission of the Spring Point Ledge Light Trust is to preserve the Spring Point Ledge Light and to open the lighthouse to thejiublic as often as possible and to educate people and especially children about the history and need for navigational aids."|"N"|"N"|""|""|""|""|""
"01-0544282"|"Main Street Bath"|"1145281"|"To jpromote and jprotect Bath, Maine's historically and culturally sicjnifcant downtown commercial area."|"N"|"N"|""|""|""|"74615.0000"|""
"01-0546698"|"Moosabec Ambulance Service"|"1145282"|"Provide ambulance services for the towns of Jonesport & Beals, Maine"|"N"|"N"|""|""|""|"148809.0000"|""
"01-0551364"|"TECH COAST ANGELS INC."|"1145283"|"To provide members with education to develop better investment processes. To educate entrepreneurs on how to develop better ventures and to understand capital markets. To host special events which promote entrepreneurs in the community."|"N"|"N"|""|""|""|"0.0000"|""
"01-0573723"|"VFW POST 34 CANTEEN INC"|"1145284"|"Service for veterans"|"N"|"N"|""|""|""|""|""
"01-0574137"|"YUMA-SOUTHWEST CONTRACTORS ASSOCIATION"|"1145285"|"To provide tools for members to run their businesses efficiently and effectively, work safely, and be an advocate for the members."|"N"|"N"|""|""|""|"0.0000"|""
"01-0574719"|"Carver Heights Ministries Inc."|"1145286"|"To assist underprivileged children in after school programs, daycare programs and cultural awareness."|"N"|"N"|""|""|""|"70493.0000"|""
"01-0598493"|"INTERNATIONAL SKATING PROGRAM INC."|"1145288"|"To foster international amateur sports competition for athletes who represent the country of Israel"|"N"|"N"|""|""|""|"370344.0000"|""
"01-0601798"|"U.S. GREEN BUILDING COUNCIL, NEW YORK CHAPTER"|"1145289"|"Usgbc New York advances Green Building pratices through advocacy, education and research in the greater New York area."|"N"|"N"|""|""|""|"1362733.0000"|""
"01-0605273"|"WE ARE ONE MINISTRIES INC"|"1145291"|"We Are One Ministries Inc is a ministry which is focused on leadership development. The vision of We Are One ministry is to provide opportunities for people of Malawi, Africa to provide orphan care, establish churches, provide education, and provide the necessary skills to help develop local businesses."|"N"|"N"|""|"91884.0000"|""|"91884.0000"|"Y"
"01-0614718"|"Cornerstone Chinese Bible Church of TX"|"1145292"|""|"N"|"N"|"0.0000"|"0.0000"|""|"0.0000"|""
"01-0617953"|"KING OF PEACE EPISCOPAL DAY SCHOOL"|"1145293"|"Episcopal Day School-education"|"N"|"N"|""|""|""|"418320.0000"|""
"01-0625542"|"SALEM HEALTH AND WELLNESS FOUNDATION INC"|"1145294"|"To invest in sustainable initiatives that promote the overall health of Salem County, NJ residents. The foundation's vision is to be a financial resource for organizations specializing in servicing the health needs that are deemed to be unmet or underserved."|"N"|"N"|"104770.0000"|"104770.0000"|""|"202705.0000"|"Y"
"01-0631361"|"Washington International School"|"1145295"|"Provide bilingual education to local community. Provide English, Chinese, Math, Art and other education program to local residents in Greater Seattle area. Provide education for about 500 student in different programs"|"N"|"N"|""|""|""|"453177.0000"|""
"01-0638984"|"WEALTH WATCHERS, INC."|"1145296"|"Wealth Watchers, Inc. provides financial literacy, housing counseling and community development activities including rental and homeownership opportunities to low-to-moderate income individuals."|"N"|"N"|""|""|""|"1269258.0000"|""
"01-0644063"|"Berkshire Emergency Squad, Inc"|"1145297"|"To provide emergency medical services to the residents in the Towns of Newark Valley, Berkshire and Richford in Tioga County, NY."|"N"|"N"|""|""|""|"136130.0000"|""
"01-0652065"|"THE CAMPUS THEATRE LTD"|"1145298"|"Promoting the art of cinema thro ugh screening of culturally, a rustically, or historically import ant films, and the restoration, maintenance, and preservation of the Campus Theatre"|"N"|"N"|""|""|""|"244181.0000"|""
"01-0656986"|"THE SURF CLUB OF RYE, INC"|"1145299"|""|"N"|"N"|""|""|""|""|""
"01-0669150"|"GRANTMAKERS FOR EFFECTIVE ORGANIZATIONS"|"1145300"|"Understanding that grantmakers are successful only to the extent that their grantees achieve meaningful results, GEO promotes strategies and practices that contribute to grantee success."|"N"|"N"|"517.0000"|"1014567.0000"|"1060.0000"|"2938959.0000"|"Y"
"01-0688619"|"WHITE OAK GROVE OUTREACH CENTER INC"|"1145301"|"Advance social development"|"N"|"N"|""|""|""|"5528.0000"|""
"01-0704651"|"FRENCH BULLDOG RESCUE NETWORK A NONPROFIT CORP"|"1145302"|"Fbrn's mission is to rescue,rehabilitate and re-home French bulldogs in need from commercialbreeding kennels,import brokers,public shelters,private rescue groups,ownersorgood samaritans our organization iscomprised solely ofvolunteers who nurture and fosterthese dogs as well as provide education andtraining ourgoalisto place healthy andhappy French bulldogsinto foreverhomes"|"N"|"N"|""|""|""|"347764.0000"|"Y"
"01-0716494"|"PINE TOWNSHIP ENGINE COMPANY"|"1145303"|"Provide fire and saftey services"|"N"|"N"|"0.0000"|"0.0000"|""|"0.0000"|""
"01-0721958"|"B-4 SCHOOL OF FAIRLAWN INC"|"1145304"|"To provide day care and preschool to the community"|"N"|"N"|""|""|""|"248955.0000"|""
"01-0722133"|"Olmsted Community Center"|"1145305"|"TO DEVELOP THE MINDt SOUL, AND BODY OF INDIVIDUALS."|"N"|"N"|"0.0000"|"0.0000"|""|"455965.0000"|""
"01-0723520"|"Edward M Armfield Sr Cvic & Recreation Center"|"1145306"|"Operate a civic & recreation center for pilot Mountain and the surrounding area prividing Senior Services Child Care Fitness Center and classes qvm adn organized sports as well as meeting rooms."|"N"|"N"|""|""|""|""|""
"01-0725431"|"TREASURES 4 TEACHERS, INC"|"1145307"|"Treasures 4 Teachers bridges the gap between the great need of teachers and resources available in the business community."|"N"|"N"|""|""|""|"231923.0000"|""
"01-0728162"|"Coalition of Community Development Financial Institutions, Inc"|"1145308"|"To strengthen and expand the community development financial institutions field by promoting the field and work of CDFIs, advocating on behalf of the field and educating the field and the public about CDFIs."|"N"|"N"|""|""|""|"182834.0000"|""
"01-0749557"|"THE FIRST TEE OF NEW HAMPSHIRE, INC."|"1145310"|"To impact the lives of young people by providing educational programs that build character, instill life enhancing values and promote healthy choices through the game of golf."|"N"|"N"|""|""|""|"125591.0000"|""
"01-0448408"|"WISCASSET, WATERVILLE & FARMINGTON RAILWAY MUSEUM"|"1145270"|"Railway Museum the WW & f Railway Museum acquires, preserves and restores the operation of narrow guage railway and equipment which operatedinthe sheepscot valley andon other roads andto establish amuseum forthe display ofartifacts forthe enlightenment andeducation ofthe public."|"N"|"N"|""|""|""|"59714.0000"|""
"01-0132610"|"Orchard Grove Cemetery Association"|"1145252"|"Cemetery maintenance"|"N"|"N"|""|""|""|"6512.0000"|""
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"1145253"|"The chamber continues to advance the civic, commercial. Industrial, and agricultural interests of the towns of York, Kittery, Eliot and South Berwick me the chamber sponsores various informational seminars and organizes monthly business meetings"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"68613.0000"|""
"01-0206454"|"LEDGELAWN CEMETERY INC"|"1145255"|"Sales and maintenance of cemetery lots. Developing existing land for future lots."|"N"|"N"|"0.0000"|"0.0000"|""|"38437.0000"|""
"01-0215913"|"BUCK MEMORIAL LIBRARY"|"1145256"|"Library services loan books periodieais audios research access to computers"|"N"|"N"|""|""|""|"58857.0000"|""
"01-0318746"|"BELFAST AREA CHAMBER OF COMMERCE"|"1145257"|"To promote belfast and its surrounding area."|"N"|"N"|""|""|""|"126248.0000"|""
"01-0327898"|"CORINNA HOUSING CORPORATION"|"1145258"|"Low income housing"|"N"|"N"|""|""|""|"182185.0000"|""
"01-0332353"|"CORINTH HOUSING CORPORATION"|"1145259"|"Low-income housing"|"N"|"N"|""|""|""|"145172.0000"|""
"01-0349146"|"Newport Public Library Association"|"1145261"|"Newport Public Library Association is a non-profit corporation organized under the laws of the State of Maine to provide facilities and infrastructure support for operating a historical society and library for use by the citizens of the Town of Newport, Maine."|"N"|"N"|""|""|""|"70374.0000"|""
"01-0355563"|"Maine Development Foundation"|"1145262"|"The mission of the Maine Development Foundation is to foster sustainable, long-term economic growth for Maine. Its programs stimulate new ideas, help develop Maine's leaders, and provide common ground for solving problems and advancing important issues."|"N"|"N"|""|"176082.0000"|"215.0000"|"920579.0000"|""
"01-0356733"|"Yarmouth Chamber of Commerce"|"1145263"|"The Yarmouth Chamber of Commerce provides support to local businesses and the community including mutiple programs, activities and scholarships."|"N"|"N"|"0.0000"|"0.0000"|""|"0.0000"|""
"01-0357895"|"FIFTH MAINE REGIMENT MUSEUM"|"1145264"|"To preserve and promote the memorial hall, the artifacts, the history of Peaks Island, and the legacy of the Fifth Maine civil war regiment for the education and enrichment of the community."|"N"|"N"|""|""|""|"74430.0000"|""
"01-0369904"|"CASA INC"|"1145265"|"Casa's primary purpose is to serve persons with mental retardation residing in Cumberland County, Maine"|"N"|"N"|""|"1017167.0000"|"1176942.0000"|"7473226.0000"|"Y"
"01-0376143"|"MAINE AVENUE MANOR, INC"|"1145266"|"Low income housing"|"N"|"N"|""|""|""|"259748.0000"|""
"01-0379686"|"Ronald McDonald House of Bangor, Inc."|"1145267"|"The Ronald McDonald House of Bangor, Inc. a non-profit corporation, provides homelike, temporary lodging for families of seriously ill children receiving treatment at nearby medical facilities."|"N"|"Y"|""|""|""|"231875.0000"|"Y"
"01-0383489"|"PINE TREE QUILTERS GUILD, INC."|"1145268"|"The organization promotes ouilting throughout the state of Maine through workshops, an annual quilting show and newsletter. The organization works to preserve quilting history as well as historic ouilts"|"N"|"N"|""|""|""|"38646.0000"|""
"01-0454046"|"Lsle an Havt Commwmh Dovelepmt comp"|"1145271"|"The ICDC's mission is to promote building and maintaining a year round population on Isle an Haut. It currently focuses on providing affordable rental housing and micro loan opportunities."|""|""|""|""|""|""|""
